timestamp,frame_number,label,score,x1,y1,x2,y2
2025-04-10T17:19:00.359613,20,a lion,0.5464237928390503,87.385544,104.68945,297.02472,292.7464
2025-04-10T17:19:00.360612,20,a lion,0.35585886240005493,252.48636,401.89294,381.03052,478.2456
2025-04-10T17:19:01.810752,21,a lion,0.6846941709518433,108.61244,96.22908,314.61444,283.67078
2025-04-10T17:19:01.811751,21,a lion,0.3008546829223633,196.25536,401.30145,247.31726,445.78326
2025-04-10T17:19:01.812753,21,a lion,0.6157113909721375,264.18335,390.37024,390.07697,479.2888
2025-04-10T17:19:03.243465,22,a lion,0.6383394002914429,117.97401,66.26213,319.83292,236.86555
2025-04-10T17:19:03.244465,22,a lion,0.5603980422019958,245.60306,351.48767,366.3718,473.4056
2025-04-10T17:19:04.560239,23,a lion,0.7408010363578796,143.18141,62.99145,327.72675,231.49567
2025-04-10T17:19:04.561240,23,a lion,0.3154889643192291,192.0207,334.19577,236.60104,380.2328
2025-04-10T17:19:04.562240,23,a lion,0.7145788669586182,242.79797,337.39838,365.92725,463.47244
2025-04-10T17:19:04.562240,23,a lion,0.3814702332019806,110.811874,429.40515,166.33624,479.55237
2025-04-10T17:19:05.868271,24,a lion,0.6379802227020264,134.38809,65.275085,316.8149,225.08702
2025-04-10T17:19:05.870265,24,a lion,0.3031533658504486,180.17969,337.51614,224.85144,383.17978
2025-04-10T17:19:05.871265,24,a lion,0.654144823551178,234.39806,341.41595,356.69998,461.15973
2025-04-10T17:19:05.872272,24,a lion,0.37161117792129517,102.60423,428.7224,159.77232,479.12076
2025-04-10T17:19:07.156682,25,a lion,0.6318109035491943,144.28375,61.091503,329.58136,222.5921
2025-04-10T17:19:07.158681,25,a lion,0.5981228947639465,231.91682,330.21643,359.0077,474.35883
2025-04-10T17:19:19.403481,34,a spectacle,0.3057461977005005,264.8756,177.36948,439.51672,232.45273
2025-04-10T17:19:22.150332,36,a spectacle,0.31204643845558167,267.20715,184.26672,441.9263,238.20981
2025-04-10T17:19:23.371205,37,a spectacle,0.33828747272491455,263.89554,186.32477,444.90964,243.83688
2025-04-10T17:19:26.197549,39,a spectacle,0.3046821057796478,258.57208,194.40295,435.92218,248.50067
2025-04-10T17:19:27.477728,40,a spectacle,0.3178552985191345,265.09088,195.33253,464.95673,252.22658
2025-04-10T17:19:28.935834,41,a spectacle,0.30494385957717896,263.9805,194.42783,460.16852,251.19656
2025-04-10T17:19:43.118048,51,a spectacle,0.3029983341693878,250.15837,200.94864,440.67438,260.98605
2025-04-10T17:19:44.380773,52,a spectacle,0.31424668431282043,246.00975,201.67178,431.0813,259.91727
2025-04-10T17:19:46.011450,53,a spectacle,0.3134598135948181,246.94655,202.24863,431.08313,260.501
2025-04-10T17:19:55.920483,61,a spectacle,0.3142930865287781,234.30434,207.12544,425.9674,273.11957
2025-04-10T17:19:56.995582,62,a spectacle,0.3062593340873718,237.21657,208.74,428.5047,274.76642
2025-04-10T17:19:58.139570,63,a spectacle,0.37321171164512634,229.98352,273.76373,544.6412,383.71686
2025-04-10T17:19:59.293897,64,a spectacle,0.45433908700942993,238.24484,322.17,639.45526,470.88913
2025-04-10T17:20:00.452399,65,a spectacle,0.4215841591358185,239.90039,308.8544,641.9205,473.96393
2025-04-10T17:20:01.539050,66,a spectacle,0.43409231305122375,253.69087,312.54062,641.80084,476.71582
2025-04-10T17:20:02.577356,67,a spectacle,0.4554121494293213,226.3163,318.6925,635.69946,480.76382
2025-04-10T17:20:03.604716,68,a spectacle,0.4391767382621765,230.7543,313.17065,633.40137,468.94153
2025-04-10T17:20:04.623012,69,a spectacle,0.40472036600112915,233.4021,311.93182,638.04553,471.89792
2025-04-10T17:20:05.642133,70,a spectacle,0.47966885566711426,231.18394,291.90826,637.2259,463.41772
2025-04-10T17:20:06.776559,71,a spectacle,0.43719691038131714,244.90051,293.1206,635.6415,468.90256
2025-04-10T17:20:08.907526,73,a spectacle,0.33620399236679077,273.15906,164.30461,502.2307,266.8144
2025-04-10T17:20:09.960980,74,a spectacle,0.33629634976387024,281.0487,167.25186,509.42776,263.07437
2025-04-10T17:20:11.011744,75,a spectacle,0.3226125240325928,295.66562,175.15712,521.753,266.4496
2025-04-10T17:20:12.055418,76,a spectacle,0.3257347643375397,300.18536,174.5946,527.9447,263.86087
2025-04-10T17:20:13.099059,77,a spectacle,0.3255760669708252,295.1167,176.1473,527.57526,268.05035
2025-04-10T17:20:15.219898,79,a spectacle,0.31771260499954224,296.32492,174.25453,527.3737,265.71878
2025-04-10T17:20:16.220897,80,a spectacle,0.32932978868484497,295.67294,175.28168,524.68225,268.76917
2025-04-10T17:20:17.348897,81,a spectacle,0.3119353652000427,294.6536,179.06784,519.6639,269.653
2025-04-10T17:20:18.365898,82,a spectacle,0.3095686733722687,295.64423,175.19566,525.6887,270.82983
2025-04-10T17:20:19.402896,83,a spectacle,0.31092292070388794,300.8934,175.31744,527.8588,266.80667
2025-04-10T17:20:20.399897,84,a spectacle,0.3388747274875641,297.03122,175.69719,525.11395,268.99603
2025-04-10T17:20:21.365895,85,a spectacle,0.31160059571266174,295.30884,176.1949,532.5377,268.21954
2025-04-10T17:20:22.371482,86,a spectacle,0.3160818815231323,299.07306,178.43027,526.6819,265.60202
2025-04-10T17:20:23.385479,87,a spectacle,0.31070855259895325,282.048,179.62985,514.4437,271.91568
2025-04-10T17:20:24.464480,88,a spectacle,0.3322974145412445,285.86584,178.12134,521.4054,265.28397
2025-04-10T17:20:25.562480,89,a spectacle,0.3245234787464142,288.17227,179.24936,517.95184,268.3851
2025-04-10T17:20:26.556479,90,a spectacle,0.30533310770988464,231.11697,177.99648,445.77893,252.05649
2025-04-10T17:20:29.400485,93,a spectacle,0.31691619753837585,207.5455,210.79517,398.50662,276.70563
2025-04-10T17:20:30.355484,94,a spectacle,0.3214932084083557,202.00699,217.10454,396.80377,282.9768
2025-04-10T17:20:31.293482,95,a spectacle,0.3157777786254883,211.50906,220.11452,400.73972,281.47037
2025-04-10T17:20:33.246479,97,a spectacle,0.3037184178829193,143.44737,200.2606,346.89682,265.4601
